5132954 characters in 42 files.
78 unique characters.
Frequency distribution:
 	939235
!	9332
$	1
&	71
'	27186
(	669
)	669
,	90300
-	9595
.	38104
0	1
1	50
2	51
3	29
4	2
5	2
6	2
7	1
8	2
9	1
:	15303
;	17002
?	10609
A	45644
B	12969
C	19218
D	13148
E	35557
F	11108
G	10383
H	16342
I	54636
J	1957
K	5818
L	22415
M	14379
N	26055
O	28553
P	9614
Q	1045
R	24664
S	30223
T	36532
U	14712
V	4231
W	14882
X	648
Y	7965
Z	422
[	6265
]	6258
a	257504
b	49603
c	71088
d	143254
e	436047
f	72961
g	61196
h	233036
i	211971
j	2904
k	31718
l	154888
m	100667
n	229241
o	296596
p	49753
q	2934
r	222769
s	230327
t	308842
u	120600
v	36395
w	78366
x	4795
y	89622
z	1398
|	619
